state,code,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment
MA,00221900,Tufts University,Massachusetts,4765237,6655929,12009000,23430166,1867962000
NY,00278200,New York Institute Of Technology,New York,4377210,6855681,12109000,23341891,0
IL,00711800,Parkland College,Illinois,3275003,7257218,12781000,23313221,0
WI,00974400,Fox Valley Technical College,Wisconsin,2598816,7452169,13245000,23295985,0
NY,00284500,Suny College At Geneseo,New York,4552123,6782413,11955000,23289536,0
TN,00347900,Belmont University,Tennessee,4597337,6711670,11957000,23266007,252091000
IN,00180500,Indiana Institute Of Technology,Indiana,3336999,7249335,12632000,23218334,137039000
SC,00342000,Benedict College,South Carolina,4372336,6899448,11946000,23217784,0
NY,00273900,Ithaca College,New York,4583253,6732724,11889000,23204977,347335000
CA,02111300,Cuyamaca College,California,2918721,7329288,12907000,23155009,0
NY,00287400,Niagara County Community College,New York,3598909,7096692,12359000,23054601,0
TX,00361300,Southern Methodist University,Texas,4598259,6580843,11850000,23029102,1663864000
PA,00328700,La Salle University,Pennsylvania,4277300,6800498,11944000,23021798,80311000
AZ,02177500,Rio Salado Community College,Arizona,2531870,7331461,13123000,22986331,0
CO,02276900,Community College Of Aurora,Colorado,3035626,7224037,12720000,22979663,0
GA,00402400,Georgia Northwestern Technical College,Georgia,3182360,7197142,12564000,22943502,0
SC,00399400,Spartanburg Community College,South Carolina,3358632,7124748,12428000,22911380,0
MA,00218400,Fitchburg State University,Massachusetts,3910925,6854502,12103000,22868427,0
GA,00156600,Fort Valley State University,Georgia,4166439,6827893,11853000,22847332,0
AR,00108600,University Of Arkansas At Pine Bluff,Arkansas,4295429,6774295,11748000,22817724,0
NY,00287700,Rockland Community College,New York,3626632,6947584,12234000,22808216,0
MA,00217400,Northern Essex Community College,Massachusetts,3271644,7115735,12415000,22802379,0
CA,01039500,University Of San Diego,California,4426552,6592664,11746000,22765216,545552000
NY,00679100,Suny College At Purchase,New York,4290517,6722248,11752000,22764765,0
WI,00389900,University Of Wisconsin - Green Bay,Wisconsin,3504931,6769674,12470000,22744605,0
OH,00302400,Case Western Reserve University,Ohio,4514183,6502716,11714000,22730899,1866500000
PA,01038800,Reading Area Community College,Pennsylvania,3184345,7099987,12365000,22649332,0
NY,01118900,United Talmudical Seminary,New York,4482702,6631109,11501000,22614811,0
CA,03871300,Folsom Lake College,California,2957869,7090043,12555000,22602912,0
NC,00291300,Campbell University,North Carolina,4307900,6604314,11634000,22546214,0
