state,code,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment
NC,00798600,Halifax Community College,North Carolina,616040,1241708,2175000,4032748,0
NC,00964600,Piedmont Community College,North Carolina,569586,1256023,2202000,4027609,0
TX,04131700,Southwest University At El Paso,Texas,4026674,0,0,4026674,0
AZ,00711300,Arizona Christian University,Arizona,747009,1188662,2074000,4009671,0
IN,00183500,Saint Mary Of The Woods College,Indiana,637917,1227989,2143000,4008906,0
MA,00215000,Fisher College,Massachusetts,496691,1265283,2245000,4006974,97743000
OH,00398200,Cleveland Institute Of Art (The),Ohio,801788,1162031,2026000,3989819,0
MI,00226300,Glen Oaks Community College,Michigan,576681,1232639,2167000,3976320,0
MS,00241400,Millsaps College,Mississippi,761840,1161398,2050000,3973238,0
NE,00256300,Union College,Nebraska,757995,1167914,2047000,3972909,0
TX,03422300,Milan Institute,Texas,3963075,0,0,3963075,0
CA,01290700,Lake Tahoe Community College,California,348926,1290394,2322000,3961320,0
IA,00185200,Clarke University,Iowa,768683,1155469,2032000,3956152,29340000
TN,00351100,Milligan College,Tennessee,742753,1160607,2050000,3953360,0
SC,00342900,Columbia International University,South Carolina,676941,1183116,2080000,3940057,0
MI,00226500,Grace Christian University,Michigan,485111,1257228,2189000,3931339,0
PA,01099800,Pennsylvania Institute Of Technology,Pennsylvania,518726,1247621,2164000,3930347,0
OH,00301600,Bluffton University,Ohio,768698,1144619,2001000,3914317,0
IA,00187100,Iowa Wesleyan University,Iowa,699320,1171539,2042000,3912859,0
NY,00271000,Cooper Union For The Advancement Of Science & Art (The),New York,766505,1110434,2033000,3909939,0
FL,02524000,Sunstate Academy,Florida,814778,1435284,1656000,3906062,0
WA,00380300,Whitman College,Washington,764766,1128146,2009000,3901912,565256000
VA,00915900,Paul D. Camp Community College,Virginia,512617,1227213,2154000,3893830,0
PR,02569400,Escuela De Artes Plasticas Y Diseño De Puerto Rico,Puerto Rico,686208,1170824,2034000,3891032,0
NY,00861400,Rabbinical College Bobover Yeshiva Bnei Zion,New York,751000,1148403,1988000,3887403,0
NH,00257200,Colby-Sawyer College,New Hampshire,779605,1128568,1977000,3885173,39449000
TN,00353600,Bryan College,Tennessee,579257,1199750,2106000,3885007,0
PR,01194000,Instituto Comercial De Puerto Rico Junior College,Puerto Rico,3879773,0,0,3879773,0
FL,03003600,William T Mcfatter Technical College,Florida,603976,1180478,2083000,3867454,0
FL,00560800,Traviss Technical College,Florida,644793,1173090,2038000,3855883,0
TN,00535400,Tennessee College Of Applied Technology-Jackson,Tennessee,510365,1124050,2208000,3842415,0
CA,04142600,Touro University,California,797347,1069020,1975000,3841367,0
AZ,02100600,Carrington College,Arizona,3823185,0,0,3823185,0
KS,00194500,Sterling College,Kansas,662915,1151312,2008000,3822227,0
MO,00252300,Westminster College,Missouri,768643,1111314,1942000,3821957,0
PA,00335200,Philadelphia College Of Osteopathic Medicine,Pennsylvania,863192,1038054,1919000,3820246,417899000
FL,00560500,Pinellas Technical College - Clearwater Campus,Florida,527113,1190438,2095000,3812551,0
ND,00298900,Dickinson State University,North Dakota,640093,1148421,2024000,3812514,0
PA,00336000,Rosemont College,Pennsylvania,653142,1142284,2004000,3799426,0
CA,00753100,Academy Of Art University,California,3791776,0,0,3791776,0
IA,01230000,Palmer College Of Chiropractic,Iowa,809390,1049646,1932000,3791036,58825000
NY,00477600,Central Yeshiva Tomchei Tmimim Lubavitz,New York,743134,1111506,1934000,3788640,0
KY,00195800,Brescia University,Kentucky,504094,1196232,2086000,3786326,0
WI,00538400,Nicolet Area Technical College,Wisconsin,484116,1192563,2092000,3768679,0
CA,04037300,Los Angeles Film School (The),California,3766527,0,0,3766527,0
FL,03346300,Academy For Nursing And Health Occupations,Florida,541389,1174616,2040000,3756005,0
AR,02111100,University Of Arkansas Community College Rich Mountain,Arkansas,542149,1170671,2043000,3755820,0
FL,00755800,Fort Myers Technical College,Florida,507574,1134896,2113000,3755470,0
FL,02228300,Lake Technical College,Florida,568563,1157066,2027000,3752629,0
NC,01119700,Mayland Community College,North Carolina,588968,1146354,2014000,3749322,0
IL,02168600,East-West University,Illinois,638436,1135709,1965000,3739145,0
PA,00331700,Cheyney University Of Pennsylvania,Pennsylvania,663615,1044814,2030000,3738429,0
LA,02600900,Aveda Arts & Sciences Institute Covington,Louisiana,3712040,0,0,3712040,0
KS,00194000,Southwestern College,Kansas,490411,1166646,2044000,3701057,0
AR,00108800,Lyon College,Arkansas,680216,1096447,1913000,3689663,0
CA,00123600,Menlo College,California,744390,1064287,1864000,3672677,0
PR,02189100,Cem College,Puerto Rico,3669368,0,0,3669368,0
NH,00529100,White Mountains Community College,New Hampshire,488503,1152186,2017000,3657689,0
SD,00346100,Dakota Wesleyan University,South Dakota,641844,1094081,1918000,3653925,0
TX,00851000,Eastfield College,Texas,3649693,0,0,3649693,0
CA,02330500,Laguna College Of Art And Design,California,661479,1081100,1892000,3634579,0
FL,03661400,South Florida Institute Of Technology,Florida,3625271,0,0,3625271,0
NC,00808500,Mcdowell Technical Community College,North Carolina,527975,1113327,1953000,3594302,0
FL,03127900,Osceola Technical College,Florida,590003,1094090,1908000,3592093,0
FL,00558600,Lindsey Hopkins Technical College,Florida,501691,1119239,1967000,3587930,0
TN,00493800,South College,Tennessee,3576321,0,0,3576321,0
GA,00159700,Truett Mcconnell University,Georgia,489215,1105771,1971000,3565986,0
CO,02117500,Naropa University,Colorado,656811,1053383,1853000,3563194,0
GA,04206400,Helms College,Georgia,602995,1077607,1869000,3549602,0
IL,00980000,Rush University,Illinois,683762,1008068,1845000,3536830,620253000
CA,01287200,North-West College,California,3525534,0,0,3525534,0
TX,02098300,Western Technical College,Texas,3503977,0,0,3503977,0
LA,03480300,Fortis College,Louisiana,3493748,0,0,3493748,0
ND,02242900,United Tribes Technical College,North Dakota,339952,1151040,1995000,3485992,0
OH,00648900,Christ College Of Nursing And Health Sciences,Ohio,567902,1060598,1852000,3480500,0
OH,00304100,Defiance College,Ohio,662680,1026944,1790000,3479624,19129000
CA,04169800,Gurnick Academy Of Medical Arts,California,3477356,0,0,3477356,0
OH,03071900,Mount Carmel College Of Nursing,Ohio,605611,1029901,1837000,3472512,0
CO,00135500,Lamar Community College,Colorado,588420,1049005,1835000,3472425,0
TN,00535300,Tennessee College Of Applied Technology-Livingston,Tennessee,479769,1082755,1905000,3467524,0
CT,00139300,Mitchell College,Connecticut,616528,1036072,1814000,3466600,0
KS,00193800,Pratt Community College,Kansas,518364,1065589,1876000,3459953,0
MO,00251200,Stephens College,Missouri,668976,1014615,1771000,3454591,0
TN,00402600,Tennessee College Of Applied Technology - Crossville,Tennessee,499909,1069622,1884000,3453531,0
MO,00252400,William Jewell College,Missouri,707592,989524,1739000,3436116,0
OR,00318900,Clatsop Community College,Oregon,444841,1078746,1911000,3434587,0
GA,00159600,Toccoa Falls College,Georgia,481239,1067910,1880000,3429149,0
TX,00356800,Frank Phillips College,Texas,488436,1065020,1871000,3424456,0
VA,00371300,Hampden Sydney College,Virginia,679908,988698,1749000,3417606,0
GA,00160000,Wesleyan College,Georgia,587801,1027993,1801000,3416794,0
MO,00638900,Goldfarb School Of Nursing At Barnes-Jewish College,Missouri,669542,989079,1745000,3403621,0
NY,00290100,Wells College,New York,623035,1014898,1765000,3402933,0
KS,00190100,Allen County Community College,Kansas,416499,1076217,1909000,3401716,0
OH,00941200,Fortis College,Ohio,3398488,0,0,3398488,0
CA,02270600,Life Pacific University,California,606084,1017845,1772000,3395929,0
KS,00191100,Colby Community College,Kansas,469448,1052247,1863000,3384695,0
NM,02511000,Southwestern Indian Polytechnic Institute,New Mexico,593278,1017848,1770000,3381126,0
FL,03103900,Marion Technical College,Florida,541724,1034079,1803000,3378803,0
TN,00528300,Tennessee College Of Applied Technology - Newbern,Tennessee,571359,961675,1839000,3372034,0
VA,00373400,Randolph College,Virginia,664874,984559,1721000,3370433,0
OK,02052700,Northeast Technology Center,Oklahoma,456375,1037246,1867000,3360621,0
WI,00387500,Northland College,Wisconsin,636542,992151,1731000,3359693,0
NE,00640400,Nebraska Methodist College Of Nursing & Allied Health,Nebraska,557892,1011693,1779000,3348585,0
NC,00943000,Tri-County Community College,North Carolina,522349,1026395,1797000,3345744,0
UT,02115400,Bridgerland Technical College,Utah,411631,1053906,1874000,3339537,0
NH,00755500,Lakes Region Community College,New Hampshire,439512,1044695,1848000,3332207,0
CA,03062700,Platt College,California,3330094,0,0,3330094,0
TX,02117100,Art Institute Of Houston (The),Texas,3313919,0,0,3313919,0
CA,00125900,Palo Verde College,California,349166,1038714,1910000,3297880,0
NJ,03666300,Pillar College,New Jersey,562480,996324,1736000,3294804,0
NY,00283900,State University Of New York Downstate Medical Center,New York,658028,927377,1688000,3273405,0
PA,00531000,Pittsburgh Institute Of Aeronautics,Pennsylvania,458946,1013613,1780000,3252559,0
GA,00155500,Thomas University,Georgia,375530,1037983,1836000,3249513,29605000
AL,03010800,Fortis Institute,Alabama,3246774,0,0,3246774,0
FL,01082600,Tom P. Haney Technical Center,Florida,539960,988396,1717000,3245356,0
SD,00346500,Mount Marty College,South Dakota,489509,986775,1754000,3230284,0
IL,00167800,Eureka College,Illinois,624909,947882,1654000,3226791,0
PA,00330600,University Of Valley Forge,Pennsylvania,599907,955627,1670000,3225534,0
WV,00380800,Bethany College,West Virginia,582649,962066,1679000,3223715,0
KS,01050300,Wichita Technical Institute,Kansas,3213488,0,0,3213488,0
FL,00148500,College Of The Florida Keys (The),Florida,481856,989069,1740000,3210925,0
PA,00267000,Clarks Summit University,Pennsylvania,596633,942626,1666000,3205259,0
MO,00250400,St. Louis College Of Pharmacy,Missouri,678296,908540,1618000,3204836,144776000
IN,00182400,Oakland City University,Indiana,465821,981448,1744000,3191269,0
IA,00460000,Northwest Iowa Community College,Iowa,422535,996810,1771000,3190345,0
SC,00492700,University Of South Carolina - Union,South Carolina,457913,986521,1740000,3184434,0
GA,00927000,Art Institute Of Atlanta (The),Georgia,3179031,0,0,3179031,0
FL,02511700,Ridge Technical College,Florida,516450,970771,1690000,3177221,0
CA,03067500,Institute Of Technology,California,3164257,0,0,3164257,0
WA,01231500,Cornish College Of The Arts,Washington,632813,915631,1613000,3161444,0
AK,00106500,University Of Alaska Southeast,Alaska,372939,1001982,1784000,3158921,0
CA,00117200,Pitzer College,California,625861,913259,1619000,3158120,144365000
PR,02297700,Automeca Technical College,Puerto Rico,3157261,0,0,3157261,0
CA,03971300,American Career College,California,3157248,0,0,3157248,0
CA,04169700,Unitek College,California,3157044,0,0,3157044,0
VA,00499600,Dabney S Lancaster Community College,Virginia,444563,981191,1725000,3150754,0
MN,00236100,Martin Luther College,Minnesota,531043,945500,1670000,3146543,0
MN,00238300,Crown College,Minnesota,491090,960841,1686000,3137931,0
FL,00560700,Suncoast Technical College,Florida,425821,971627,1739000,3136448,0
PA,02183000,Orleans Technical College,Pennsylvania,582950,931256,1620000,3134206,0
MO,00248500,Midwestern Baptist Theological Seminary,Missouri,466997,948700,1713000,3128697,0
MO,02068200,Cox College,Missouri,492010,955693,1678000,3125703,0
OH,04074300,Hondros College Of Nursing,Ohio,3120827,0,0,3120827,0
CT,02106600,American Institute,Connecticut,3113907,0,0,3113907,0
TN,00537900,Tennessee College Of Applied Technology-Shelbyville,Tennessee,547306,931766,1631000,3110072,0
MD,01001400,Garrett College,Maryland,504992,947671,1655000,3107663,0
NY,02599400,New York College Of Health Professions,New York,537043,930830,1629000,3096873,0
IL,00171600,Maccormac College,Illinois,382008,992573,1720000,3094581,0
OH,02190700,Fortis College,Ohio,3093935,0,0,3093935,0
FL,02326900,Sunstate Academy,Florida,478081,947773,1656000,3081854,0
LA,00200300,Centenary College Of Louisiana,Louisiana,608956,890394,1579000,3078350,0
CO,00998100,Morgan Community College,Colorado,411258,966838,1698000,3076096,0
GA,00155700,Brewton Parker College,Georgia,449184,950942,1665000,3065126,0
TX,00976800,University Of North Texas Health Science Center At Fort Worth,Texas,687698,832399,1539000,3059097,0
OK,00996500,Canadian Valley Technology Center School District No. 6,Oklahoma,601347,872268,1583000,3056615,0
KY,00196500,Kentucky Christian University,Kentucky,531102,919413,1605000,3055515,0
NH,00756000,River Valley Community College,New Hampshire,384684,965201,1705000,3054885,0
IL,00174600,Robert Morris University Illinois,Illinois,3052761,0,0,3052761,0
SC,00343200,Erskine College,South Carolina,587364,894189,1570000,3051553,0
WY,00392900,Eastern Wyoming College,Wyoming,420524,945262,1685000,3050786,0
CA,00121700,Lassen College,California,335004,963037,1733000,3031041,0
KS,00526500,North Central Kansas Technical College,Kansas,490545,917405,1613000,3020950,0
NM,00996200,Luna Community College,New Mexico,399419,948067,1673000,3020486,0
PA,02114200,Johnson College,Pennsylvania,559569,897027,1561000,3017596,0
TX,01001900,University Of Texas Southwestern Medical Center (The),Texas,602606,843650,1560000,3006256,0
IN,00183400,Calumet College Of Saint Joseph,Indiana,562456,886885,1554000,3003341,0
WA,01302200,City University Of Seattle,Washington,432868,918942,1651000,3002810,0
VT,00368200,Bennington College,Vermont,592763,869044,1534000,2995807,0
FL,01323400,Lorenzo Walker Technical College,Florida,492820,858353,1634000,2985173,0
FL,02524200,Robert Morgan Educational Center And Technical College,Florida,447181,917050,1616000,2980231,0
MI,02099700,Ross Medical Education Center,Michigan,2973094,0,0,2973094,0
NY,01258900,Erie 1 Board Of Cooperative Educational Services,New York,577270,868446,1524000,2969716,0
FL,02307400,George Stone Technical College,Florida,446933,916920,1605000,2968853,0
OR,04151900,Columbia Gorge Community College,Oregon,375638,938681,1654000,2968319,0
PR,01081900,Conservatorio De Música De Puerto Rico,Puerto Rico,548486,878541,1531000,2958027,0
OK,00318000,Southwestern Christian University,Oklahoma,534184,879278,1528000,2941462,0
KS,00194600,Tabor College,Kansas,525581,874230,1530000,2929811,0
CA,00120500,Golden Gate University,California,464148,871390,1580000,2915538,46828000
NV,00919200,Sierra Nevada College,Nevada,553670,852648,1508000,2914318,0
NY,02556700,Seminar L'Moros Bais Yaakov,New York,644413,829572,1439000,2912985,0
MO,00247700,A. T. Still University Of Health Sciences,Missouri,539820,831012,1536000,2906832,0
KY,00461900,Sullivan University,Kentucky,2903218,0,0,2903218,0
TX,00850300,Mountain View College,Texas,2902459,0,0,2902459,0
IL,00165900,Rosalind Franklin University Of Medicine And Science,Illinois,600592,807025,1492000,2899617,0
TN,03830300,Sae Institute Of Technology,Tennessee,2892306,0,0,2892306,0
CO,00135900,Colorado Northwestern Community College,Colorado,397997,898356,1593000,2889353,0
MI,00407100,Walsh College Of Accountancy & Business Administration,Michigan,422403,888354,1578000,2888757,9730000
MO,02202700,Ozark Christian College,Missouri,489464,871809,1521000,2882273,0
NY,01185900,Word Of Life Bible Institute,New York,506756,858197,1503000,2867953,0
ND,00300800,Valley City State University,North Dakota,452941,868060,1532000,2853001,0
TX,03612400,Valley Grande Institute For Academic Studies,Texas,422034,885308,1535000,2842342,0
AR,00110600,Williams Baptist University,Arkansas,528721,839882,1465000,2833603,0
KS,00190800,Central Christian College Of Kansas,Kansas,464984,861626,1506000,2832610,0
KS,00526700,Northwest Kansas Technical College,Kansas,479285,841008,1493000,2813293,0
AL,00569200,Reid State Technical College,Alabama,435328,866379,1508000,2809707,0
CA,00565500,Hacienda La Puente Adult Education,California,388304,853390,1559000,2800694,0
PA,02558700,Prism Career Institute,Pennsylvania,2799781,0,0,2799781,0
OK,00533900,Metro Technology Centers School District #22,Oklahoma,466807,836177,1491000,2793984,0
OH,00703500,Kettering College,Ohio,525294,817668,1451000,2793962,0
NY,00746800,School Of Visual Arts,New York,2793698,0,0,2793698,0
PA,02310800,Lancaster County Career And Technology Center,Pennsylvania,508099,824731,1454000,2786830,0
FL,02316200,Miami Lakes Educational Center And Technical College,Florida,362478,866414,1556000,2784892,0
OR,00320700,Pacific Northwest College Of Art,Oregon,456256,779482,1548000,2783738,0
NY,02219500,Mildred Elley,New York,2777967,0,0,2777967,0
NY,01201100,Talmudical Seminary Oholei Torah,New York,538150,818735,1420000,2776885,0
NY,03358300,Allen School,New York,2769386,0,0,2769386,0
WA,02180000,Northwest Indian College,Washington,403967,862256,1503000,2769223,0
FL,00887800,Miami International University Of Art & Design,Florida,2762168,0,0,2762168,0
NC,00296300,Southeastern Baptist Theological Seminary,North Carolina,347269,847381,1567000,2761650,0
CA,00122900,Southern California University Of Health Sciences,California,401546,832703,1518000,2752249,0
MN,00235000,Vermilion Community College,Minnesota,454539,830732,1460000,2745271,0
TN,00535600,Tennessee College Of Applied Technology - Hohenwald,Tennessee,261811,871170,1610000,2742981,0
CA,02128300,Institute For Business & Technology,California,2735892,0,0,2735892,0
CA,00673100,Casa Loma College,California,506509,739820,1488000,2734329,0
CA,00117400,Scripps College,California,546083,785174,1401000,2732257,375585000
NC,04206500,Mycomputercareer.Com,North Carolina,2727181,0,0,2727181,0
GA,03523300,Aviation Institute Of Maintenance,Georgia,2722482,0,0,2722482,0
VA,03709300,Edward Via Virginia College Of Osteopathic Medicine,Virginia,589803,747735,1382000,2719538,0
CT,02202500,New England Tractor Trailer Training School Of Connecticut,Connecticut,2717490,0,0,2717490,0
AL,03002500,J.F. Ingram State Technical College,Alabama,448264,822536,1443000,2713800,0
OK,01227200,Moore Norman Technology Center School District No. 17,Oklahoma,278987,862226,1558000,2699213,0
SD,02143700,Sinte Gleska University,South Dakota,385959,838117,1466000,2690076,0
VA,02541200,Stratford University,Virginia,2689835,0,0,2689835,0
NY,01015300,Helene Fuld College Of Nursing,New York,445514,816859,1426000,2688373,0
KY,04038300,Ata College,Kentucky,2684973,0,0,2684973,0
NY,00746500,American Academy Of Dramatic Arts,New York,533811,778823,1367000,2679634,0
SD,00346700,Presentation College,South Dakota,454681,807234,1410000,2671915,0
NE,00986200,Clarkson College,Nebraska,441901,806294,1419000,2667195,0
KS,00190500,Bethel College,Kansas,531372,777483,1358000,2666855,0
MA,00220100,Pine Manor College,Massachusetts,518912,782334,1363000,2664246,0
NY,00289200,United States Merchant Marine Academy,New York,569967,708815,1381000,2659782,0
MN,00233700,Bethany Lutheran College,Minnesota,471985,789349,1390000,2651334,44117000
IN,00178400,Ancilla Domini College,Indiana,492118,784978,1366000,2643096,0
VA,00376200,Virginia University Of Lynchburg,Virginia,357917,835545,1449000,2642462,0
NE,00639900,Bryan College Of Health Sciences,Nebraska,484417,780709,1377000,2642126,0
NY,00284000,State University Of New York Upstate Medical University,New York,519926,748378,1357000,2625304,0
KS,00526400,Flint Hills Technical College,Kansas,306504,829141,1487000,2622645,0
FL,02321200,Orange Technical College - Westside Campus,Florida,293856,834853,1490000,2618709,0
WI,02317200,Maranatha Baptist University,Wisconsin,410308,792518,1394000,2596826,0
FL,03230300,Okaloosa Technical College And Choice High School,Florida,393330,792866,1410000,2596196,0
CA,00125500,Pacific Oaks College,California,340238,815692,1434000,2589930,0
NC,00808700,Montgomery Community College,North Carolina,382976,799600,1401000,2583576,0
SC,00536300,Denmark Technical College,South Carolina,412522,787267,1376000,2575789,0
OK,00996800,Gordon Cooper Technology Center,Oklahoma,509679,746137,1319000,2574816,0
NY,00757300,Empire Beauty School,New York,2572614,0,0,2572614,0
AL,00102600,Marion Military Institute,Alabama,514237,742268,1307000,2563505,0
KS,00550000,Manhattan Area Technical College,Kansas,369841,790612,1399000,2559453,0
CA,00117100,Harvey Mudd College,California,516332,733506,1303000,2552838,328568000
SC,00342100,Bob Jones University,South Carolina,2552058,0,0,2552058,0
TX,445300,El Centro College,Texas,2550619,0,0,2550619,0
NH,03101300,Granite State College,New Hampshire,269441,819990,1438000,2527431,0
NY,00274200,Juilliard School (The),New York,524199,712263,1289000,2525462,0
ME,01167300,Maine College Of Art,Maine,507454,734222,1283000,2524676,0
MI,02533600,Ross Medical Education Center,Michigan,2521578,0,0,2521578,0
PA,00746900,Hussian College,Pennsylvania,2519530,0,0,2519530,0
NM,00209300,Saint John'S College,New Mexico,377298,544087,1594000,2515385,0
FL,02300900,Withlacoochee Technical College,Florida,403755,769396,1340000,2513151,0
TX,02331300,Interactive College Of Technology,Texas,2503478,0,0,2503478,0
MI,00232200,Finlandia University,Michigan,447690,748336,1304000,2500026,0
TX,02077400,North Lake College,Texas,2498181,0,0,2498181,0
CA,00121200,Humphreys University,California,398142,764036,1335000,2497178,0
FL,00752600,Florida Panhandle Technical College,Florida,378062,768153,1340000,2486215,0
ND,00300700,Williston State College,North Dakota,338809,772089,1360000,2470898,0
OR,00320600,Multnomah University,Oregon,433018,738474,1294000,2465492,0
MA,02231600,Mgh Institute Of Health Professions,Massachusetts,500795,687131,1271000,2458926,0
TN,02237900,Tennessee College Of Applied Technology-Paris,Tennessee,394967,752114,1310000,2457081,0
LA,03789300,Unitech Training Academy,Louisiana,2453939,0,0,2453939,0
NJ,02132300,Fortis Institute,New Jersey,2435661,0,0,2435661,0
NJ,00642100,Jfk Medical Center Muhlenberg Harold B. And Dorothy A. Snyder Schools,New Jersey,417854,733771,1281000,2432625,0
FL,00148200,Florida College,Florida,445256,722456,1264000,2431712,0
NE,00256700,York College,Nebraska,459315,716808,1251000,2427123,0
VA,00374800,Eastern Shore Community College,Virginia,338336,754006,1320000,2412342,0
IN,02140800,Martin University,Indiana,395736,735403,1277000,2408139,0
MI,02339700,Ross Medical Education Center,Michigan,2390068,0,0,2390068,0
FL,01254400,St. Johns County School District,Florida,308355,585637,1495000,2388992,0
NY,00726400,Mesivta Torah Vodaath Rabbinical Seminary,New York,459637,663172,1263000,2385809,0
NV,03838500,Northwest Career College,Nevada,2384152,0,0,2384152,0
CA,01203100,San Diego Christian College,California,421905,711004,1244000,2376909,0
CA,00950900,Charles A. Jones Career And Education Center,California,365709,733656,1275000,2374365,0
NV,02248200,Milan Institute Of Cosmetology,Nevada,2373948,0,0,2373948,0
NY,03129200,Rabbinical College Of Ohr Shimon Yisroel,New York,460264,694125,1219000,2373389,0
FL,03101900,Trinity Baptist College,Florida,421907,712214,1239000,2373121,0
CA,03108100,Summit College,California,2365247,0,0,2365247,0
VA,02342700,Fortis College,Virginia,2359780,0,0,2359780,0
OH,02263700,Miami Valley Career Technology Center,Ohio,244731,685943,1428000,2358674,0
MI,00224600,Cleary University,Michigan,384753,714577,1253000,2352330,0
IN,00726300,Holy Cross College,Indiana,469591,682060,1193000,2344651,0
MI,02060300,Miat College Of Technology,Michigan,2341441,0,0,2341441,0
PA,01054200,Empire Beauty School,Pennsylvania,2339199,0,0,2339199,0
ND,00299300,Mayville State University,North Dakota,312720,733724,1290000,2336444,0
MT,02510600,Blackfeet Community College,Montana,266062,753694,1311000,2330756,0
MT,00252700,University Of Providence,Montana,376995,705742,1245000,2327737,0
PR,00890200,Columbia Central University,Puerto Rico,2321653,0,0,2321653,0
OH,01099300,Hobart Institute Of Welding Technology,Ohio,485886,663262,1164000,2313148,0
NM,02146400,Institute Of American Indian & Alaska Native Culture & Artsdevelopment,New Mexico,342519,713431,1254000,2309950,0
CA,02531800,Paul Mitchell The School Costa Mesa,California,2289751,0,0,2289751,0
NY,00275900,Manhattan School Of Music,New York,441481,655621,1189000,2286102,0
TX,03422400,College Of Biblical Studies-Houston,Texas,203755,833405,1245000,2282160,0
TX,00661200,Covenant School Of Nursing And Allied Health,Texas,403823,681520,1194000,2279343,0
PA,00330000,Moore College Of Art And Design,Pennsylvania,441674,669083,1167000,2277757,0
CA,03590400,Ntma Training Centers Of Southern California,California,427969,672688,1170000,2270657,0
PA,02079400,Empire Beauty School,Pennsylvania,2268234,0,0,2268234,0
TN,00528000,Tennessee College Of Applied Technology - Covington,Tennessee,248249,524530,1495000,2267779,0
NM,00265000,University Of The Southwest,New Mexico,435854,663788,1166000,2265642,0
FL,02504600,Orange Technical College-Winter Park Campus,Florida,265697,711621,1286000,2263318,0
PR,02260800,Huertas College,Puerto Rico,2262464,0,0,2262464,0
NC,00861300,Roanoke Chowan Community College,North Carolina,353481,691315,1208000,2252796,0
ND,00299100,Lake Region State College,North Dakota,110878,371642,1768000,2250520,0
TN,01032600,Tennessee College Of Applied Technology - Harriman,Tennessee,411299,663406,1174000,2248705,0
IA,01111300,Maharishi International University,Iowa,408145,657539,1182000,2247684,0
TX,00494900,Baylor College Of Medicine,Texas,506003,610941,1129000,2245944,1301005000
KS,00192000,Hesston College,Kansas,444466,654430,1143000,2241896,0
RI,02584400,New England Tractor Trailer Training School Of Massachusetts,Rhode Island,2226771,0,0,2226771,0
AR,02073700,Northwest Technical Institute,Arkansas,437217,651865,1134000,2223082,0
MI,00817800,Empire Beauty School,Michigan,2219238,0,0,2219238,0
ND,02188200,Sitting Bull College,North Dakota,375048,669488,1164000,2208536,0
NY,02173200,Empire Beauty School,New York,2208217,0,0,2208217,0
WA,02242500,Bastyr University,Washington,501592,606942,1095000,2203534,0
PA,02495500,All-State Career School,Pennsylvania,2203255,0,0,2203255,0
ME,00923100,Washington County Community College,Maine,341449,678640,1182000,2202089,0
MI,02361500,Michigan Barber School,Michigan,447200,611486,1139000,2197686,0
NY,02170200,Albany Schoharie Schenectady Saratoga Boces Practical Nursing Program,New York,416996,650370,1127000,2194366,0
OH,02354200,Scioto County Career Technical Center,Ohio,419892,649101,1125000,2193993,0
NY,03181400,Merkaz Bnos,New York,403827,633910,1156000,2193737,0
NY,01014700,Western Suffolk Boces,New York,422592,644964,1126000,2193556,0
TX,02100200,Brookhaven College,Texas,2187307,0,0,2187307,0
TN,00946400,Tennessee College Of Applied Technology-Pulaski,Tennessee,263555,661864,1258000,2183419,0
FL,04146300,Fred K. Marchman Technical College,Florida,320269,673867,1179000,2173136,0
PA,00331100,Salus University,Pennsylvania,503656,586171,1083000,2172827,48896000
PR,02195800,Liceo De Arte Y Tecnología,Puerto Rico,2168379,0,0,2168379,0
CA,03067400,Baldwin Park Adult School,California,319015,657738,1189000,2165753,0
SC,00492300,Clinton College,South Carolina,233942,707265,1224000,2165207,0
MI,02180100,Ross Medical Education Center,Michigan,2164321,0,0,2164321,0
NY,04095300,King'S College (The),New York,396742,639724,1127000,2163466,0
TN,02157100,Concorde Career College,Tennessee,2155995,0,0,2155995,0
CA,02559400,Intercoast Colleges,California,2149757,0,0,2149757,0
TN,00528200,Tennessee College Of Applied Technology-Hartsville,Tennessee,318610,659236,1164000,2141846,0
OK,03367400,Community Care College,Oklahoma,2135245,0,0,2135245,0
FL,03158300,Cape Coral Technical College,Florida,358183,635804,1127000,2120987,0
AZ,01085800,Avalon School Of Cosmetology,Arizona,2120430,0,0,2120430,0
PA,00338600,Valley Forge Military College,Pennsylvania,385652,600069,1126000,2111721,0
AL,00102300,Judson College,Alabama,369009,632686,1100000,2101695,0
FL,02278800,Southern Technical College,Florida,2097167,0,0,2097167,0
CO,04177100,Pima Medical Institute,Colorado,2092022,0,0,2092022,0
NM,00265600,New Mexico Military Institute,New Mexico,415633,606810,1062000,2084443,0
MO,00247400,Kansas City University Of Medicine And Biosciences,Missouri,409399,587192,1085000,2081591,0
TN,01070000,Tennessee College Of Applied Technology-Jacksboro,Tennessee,365951,614625,1090000,2070576,0
KS,00191400,Donnelly College,Kansas,294832,645519,1130000,2070351,0
VA,02334400,Centura College,Virginia,2069211,0,0,2069211,0
FL,03696400,Saber College,Florida,382767,539191,1147000,2068958,0
WV,00381900,Ohio Valley University,West Virginia,405760,577221,1076000,2058981,0
MA,03570500,Northpoint Bible College,Massachusetts,423110,596720,1039000,2058830,0
OK,00314700,Bacone College,Oklahoma,509457,565617,983000,2058074,0
GA,00154500,Andrew College,Georgia,355871,617316,1073000,2046187,0
FL,02513200,Orange Technical College - Orlando Campus,Florida,255268,642991,1143000,2041259,0
MA,02063000,Montserrat College Of Art,Massachusetts,375198,605741,1057000,2037939,0
PR,03115900,Trinity College Of Puerto Rico,Puerto Rico,394678,599261,1038000,2031939,0
